Document,Category,Responsible Party,Needs Signature,Needs Notary,Blocks Payment,Status,Notes
Company Invoice,Forms Luz prepares,Luz,No,No,Yes,Not started,Itemized; addressed to City of Tampa Development & Economic Opportunity
Contractor Payment Request form,Forms Luz prepares,Luz,Yes,No,Yes,Not started,Luz + Homeowner sign; City signs last
Cost Breakdown form,Forms Luz prepares,Luz,No,No,Yes,Not started,Vendors/amounts/dates/check #s; must match DMI-30
DMI-30 subcontractor payment report,Forms Luz prepares,Luz,No,No,Yes,Not started,Same sub/amount info as Cost Breakdown
Contractor Final Payment Affidavit & Release,Notarized,Luz + Notary,Yes,Yes,Yes,Not started,Keep ONE current version
Consolidated Final Lien Release,From subcontractors,Each subcontractor,Yes,No,Yes,Not started,Signature from EVERY sub on the job
Subcontractor invoices,From subcontractors,Subs,No,No,Yes,Not started,One per sub
Contractor Warranty Acknowledgement,Homeowner / warranty,Luz + Homeowner,Yes,No,Yes,Not started,Record warranty windows: general 1yr / roof 5yr / termite 1yr
Roof Mitigation verification statement,Job-type specific,Luz,No,No,Yes,Not started,ONLY if roofing work was done — easy to forget
Cancelled checks,Supporting / accounting,Luz,No,No,No,Not started,Supporting documentation
Receipts,Supporting / accounting,Luz,No,No,No,Not started,Supporting documentation
Actual vs. Budget reconciliation,Supporting / accounting,Luz,No,No,No,Not started,Excel tabs: DMI-20 / DMI-30s / Cost Breakdown
Email package to correct program,Submit,Luz,No,No,Yes,Not started,Healthy Homes OR CRA — see contacts
Save submitted copy in project folder,Submit,Luz,No,No,No,Not started,Archive what was actually sent
